2026-05-31 16:23:48.893 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 5.591 seconds (process running for 7.437)
2026-05-31 16:23:50.606 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 12324 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-31 16:23:50.619 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:23:50.820 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:23:52.635 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 4.464 seconds (process running for 6.402)
2026-05-31 16:26:42.639 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 11652 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-31 16:26:42.647 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:26:42.786 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:26:44.357 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 3.662 seconds (process running for 5.063)
2026-05-31 16:33:28.137 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 1888 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-31 16:33:28.145 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:33:28.298 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:33:30.048 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 3.95 seconds (process running for 5.392)
2026-05-31 16:34:02.739 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 4500 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-31 16:34:02.749 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:34:02.887 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:34:04.316 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 3.128 seconds (process running for 4.321)
2026-05-31 16:37:39.154 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 11412 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
