2026-05-28 16:55:24.245 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 21184 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-28 16:55:24.257 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-28 16:55:24.374 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-28 16:55:25.523 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 2.64 seconds (process running for 3.829)
2026-05-28 16:56:27.544 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 19552 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-28 16:56:27.550 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-28 16:56:27.669 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-28 16:56:28.486 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 1.857 seconds (process running for 2.56)
2026-05-28 17:27:52.267 INFO  a.d.s.SpringProject14AprelApplication - Starting SpringProject14AprelApplication using Java 21.0.11 with PID 11248 (C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel\target\classes started by talla in C:\GitHub\14AprelQrup\codes\spring\spring-project-14Aprel)
2026-05-28 17:27:52.272 INFO  a.d.s.SpringProject14AprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-28 17:27:52.378 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-28 17:27:53.280 INFO  a.d.s.SpringProject14AprelApplication - Started SpringProject14AprelApplication in 1.979 seconds (process running for 2.822)
